n,k,depth,bestMillis,bestNanos,ok
5000,0.50,6,0,723250,true
5000,0.75,9,0,525292,true
5000,1.00,12,0,374959,true
5000,1.25,15,0,214625,true
5000,1.50,18,0,214583,true
5000,1.75,21,0,214709,true
5000,2.00,24,0,243625,true
5000,2.25,27,0,245333,true
5000,2.50,30,0,244125,true
5000,2.75,33,0,244125,true
5000,3.00,36,0,53083,true
5000,3.25,39,0,53042,true
5000,3.50,42,0,53041,true
5000,3.75,45,0,53041,true
5000,4.00,48,0,51709,true
20000,0.50,7,2,2726084,true
20000,0.75,10,0,832083,true
20000,1.00,14,0,255750,true
20000,1.25,17,0,255667,true
20000,1.50,21,0,255625,true
20000,1.75,24,0,255416,true
20000,2.00,28,0,255375,true
20000,2.25,31,0,255500,true
20000,2.50,35,0,255500,true
20000,2.75,38,0,255417,true
20000,3.00,42,0,255542,true
20000,3.25,45,0,255417,true
20000,3.50,49,0,255375,true
20000,3.75,52,0,255458,true
20000,4.00,56,0,255625,true
100000,0.50,8,40,40018209,true
100000,0.75,12,8,8717500,true
100000,1.00,16,1,1563459,true
100000,1.25,20,1,1534083,true
100000,1.50,24,1,1563083,true
100000,1.75,28,1,1564833,true
100000,2.00,32,1,1562041,true
100000,2.25,36,1,1557417,true
100000,2.50,40,1,1563959,true
100000,2.75,44,1,1560792,true
100000,3.00,48,1,1560958,true
100000,3.25,52,1,1562459,true
100000,3.50,56,1,1562625,true
100000,3.75,60,1,1562708,true
100000,4.00,64,1,1559542,true
